latitude;price;bathrooms;Součet hodnot: accommodates;Součet hodnot: beds;Součet hodnot: host_response_rate;Součet hodnot: bedrooms;longitude
-23.004752815338637;$3,699.00;8;15;8;0,81;7;-43.41567473450164
-23.005244247977817;$8,538.00;6;15;8;0,81;5;-43.38291798547141
-23.00950997613693;$68.00;4,5;15;8;1;4;-43.48384619247254
-23.010108509636517;$3,500.00;8;15;12;0,81;7;-43.28789679256739
-23.010203674962643;$5,000.00;5;15;9;0,81;5;-43.28730018626023
-23.012474979410715;$3,900.00;7,5;15;8;0,81;6;-43.288903858112555
-23.01255154701932;$1,315.00;7,5;15;10;1;7;-43.43688091890987
-23.013011397996983;$3,424.00;6;15;7;0,81;5;-43.28975133648627
-23.018690603334196;$14,999.00;8;15;9;1;4;-43.49016333339955
-23.02329644221978;$1,001.00;6;15;15;1;4;-43.451103827942006
-22.915654132961148;$980.00;5;14;14;0,89;4;-43.559616749898794
-22.92161808039325;$6,335.00;10;14;7;0,9;7;-43.186613165602886
-22.92268194110166;$301.00;2;14;18;1;3;-43.36526084015633
-22.9293313778285;$801.00;3;14;11;0,8;5;-43.586895675209504
-22.934522668009187;$3,900.00;8;14;6;0,81;6;-43.1976567430236
-22.934885371785278;$2,001.00;4;14;7;1;5;-43.193672189392515
-22.935703302233758;$3,500.00;7,5;14;7;0,79;6;-43.19652825008449
-22.94934627519248;$34.00;1;14;1;1;1;-43.384203472452995
-22.951189281196196;$48.00;1;14;1;0,8;1;-43.18531872735598
-22.953620136837895;$51.00;7;14;14;0,67;1;-43.18276509044885
-22.954677478861875;$51.00;7;14;14;0,67;1;-43.18359912042748
-22.956970191562352;$10,958.00;9;14;7;0,97;7;-43.205486972313984
-22.959744008204215;$519.00;2;14;10;1;2;-43.17409840922342
-22.96023648467056;$451.00;2;14;10;0,67;2;-43.17629679770733
-22.964599493499765;$751.00;2;14;4;0,7;2;-43.17707335443245
-22.966735365828576;$400.00;3;14;11;1;3;-43.180518098626045
-22.967682685729994;$2,442.00;5,5;14;9;1;7;-43.182519869160195
-22.967938500812576;$907.00;5;14;7;1;5;-43.187081204366635
-22.96824490879346;$598.00;3;14;10;1;3;-43.188900542586815
