Latitude,Longitude,VIC_AGE_GROUP,Součet hodnot: Community Districts,OCCUR_TIME,PERP_AGE_GROUP
40.652667,-73.896736,25-44,5,1899-12-30 09:13:00,25-44
40.652901,-73.929493,25-44,61,1899-12-30 19:12:00,(null)
40.652997,-73.957965,<18,60,1899-12-30 20:55:00,(null)
40.653039,-73.919573,18-24,61,1899-12-30 05:10:00,(null)
40.653253,-73.912735,25-44,61,1899-12-30 16:45:00,18-24
40.65352238,-73.91014296,25-44,55,1899-12-30 01:30:00,(null)
40.653767,-73.738093,25-44,63,1899-12-30 00:40:00,(null)
40.654092,-73.864733,18-24,45,1899-12-30 08:20:00,(null)
40.654153,-73.911632,18-24,61,1899-12-30 05:00:00,(null)
40.654153,-73.911632,25-44,61,1899-12-30 06:42:00,(null)
40.65479217,-73.88998401,25-44,45,1899-12-30 02:30:00,25-44
40.655237,-73.959779,25-44,60,1899-12-30 03:16:00,25-44
40.655432,-73.913785,65+,61,1899-12-30 03:32:00,25-44
40.65549,-73.917952,25-44,61,1899-12-30 21:17:00,25-44
40.655532,-73.884096,<18,45,1899-12-30 13:30:00,<18
40.655632,-73.911539,45-64,55,1899-12-30 01:54:00,(null)
40.655711,-73.945257,25-44,61,1899-12-30 03:43:00,(null)
40.65572597,-73.75129439,18-24,126,1899-12-30 18:14:00,18-24
40.65572597,-73.75129439,18-24,126,1899-12-30 18:14:00,25-44
40.655915,-73.904336,25-44,55,1899-12-30 21:53:00,(null)
40.655915,-73.904336,45-64,55,1899-12-30 01:41:00,(null)
40.656517,-73.91636,25-44,61,1899-12-30 00:16:00,(null)
40.656574,-73.931405,18-24,122,1899-12-30 18:53:00,25-44
40.656574,-73.931405,25-44,122,1899-12-30 18:53:00,25-44
40.656595,-73.874123,25-44,45,1899-12-30 18:40:00,25-44
40.656636,-73.892433,18-24,45,1899-12-30 03:15:00,18-24
40.656665,-73.913243,45-64,55,1899-12-30 08:50:00,25-44
40.656665,-73.913243,45-64,55,1899-12-30 08:50:00,45-64
40.656813,-73.954809,25-44,17,1899-12-30 14:37:00,25-44
40.656898,-73.88509,25-44,45,1899-12-30 01:40:00,18-24
40.656898,-73.88509,45-64,90,1899-12-30 19:35:00,(null)
40.656911,-73.904087,25-44,55,1899-12-30 01:00:00,25-44
40.656911,-73.904087,25-44,55,1899-12-30 02:58:00,25-44
40.656968,-73.90846,25-44,110,1899-12-30 21:33:00,(null)
40.656968,-73.90846,45-64,110,1899-12-30 21:33:00,(null)
40.657037,-73.915572,18-24,61,1899-12-30 05:30:00,(null)
40.657037,-73.915572,25-44,61,1899-12-30 06:10:00,18-24
40.657037,-73.915572,25-44,61,1899-12-30 15:00:00,(null)
40.657049,-73.917709,25-44,61,1899-12-30 19:10:00,(null)
40.657248,-73.906582,25-44,110,1899-12-30 12:13:00,45-64
40.657417,-73.890859,25-44,45,1899-12-30 04:34:00,(null)
40.657557,-73.954888,<18,17,1899-12-30 15:47:00,<18
40.657785,-73.88304,25-44,45,1899-12-30 07:53:00,(null)
40.657829,-73.92302,45-64,61,1899-12-30 02:48:00,45-64
40.657877,-73.91354,18-24,55,1899-12-30 03:50:00,18-24
40.657926,-73.92079,18-24,61,1899-12-30 19:44:00,(null)
40.657933,-73.914552,18-24,55,1899-12-30 13:50:00,(null)
40.657933,-73.914552,25-44,55,1899-12-30 13:50:00,(null)
40.658109,-73.946302,25-44,34,1899-12-30 19:20:00,(null)
40.658126,-73.916026,18-24,122,1899-12-30 14:28:00,18-24
40.658126,-73.916026,25-44,122,1899-12-30 14:28:00,18-24
40.658144,-73.882207,25-44,45,1899-12-30 22:30:00,(null)
40.6581577535544,-74.0004411548878,<18,9,1899-12-30 08:26:00,45-64
40.6581577535544,-74.0004411548878,18-24,18,1899-12-30 08:26:00,45-64
40.6581577535544,-74.0004411548878,25-44,18,1899-12-30 08:26:00,45-64
40.6581577535544,-74.0004411548878,45-64,18,1899-12-30 08:26:00,45-64
40.658265,-73.950371,18-24,17,1899-12-30 15:40:00,18-24
40.658372,-73.886184,25-44,45,1899-12-30 02:30:00,(null)
40.658434,-73.909791,45-64,55,1899-12-30 14:45:00,25-44
40.658571,-73.90887,<18,55,1899-12-30 18:02:00,<18
40.658571,-73.90887,18-24,55,1899-12-30 19:45:00,(null)
40.659049,-73.950454,25-44,17,1899-12-30 18:08:00,(null)
40.659445,-73.931204,25-44,61,1899-12-30 05:04:00,(null)
40.659508,-73.930198,45-64,61,1899-12-30 22:34:00,25-44
40.659549,-73.907661,25-44,55,1899-12-30 15:30:00,(null)
40.660416,-73.897748,25-44,45,1899-12-30 23:30:00,25-44
40.660475,-73.881297,25-44,45,1899-12-30 11:54:00,18-24
40.660508,-73.925391,18-24,61,1899-12-30 09:23:00,(null)
40.66050949,-73.96281426,<18,13,1899-12-30 20:00:00,(null)
40.660526,-73.911814,<18,110,1899-12-30 18:00:00,18-24
40.660535,-73.893173,25-44,45,1899-12-30 23:19:00,(null)
40.66087512,-73.90945904,45-64,55,1899-12-30 22:19:00,25-44
40.661013,-73.763036,25-44,63,1899-12-30 23:05:00,(null)
40.661361,-73.906205,<18,55,1899-12-30 10:30:00,18-24
40.661509,-73.910577,25-44,55,1899-12-30 02:44:00,(null)
40.661648,-73.915002,25-44,55,1899-12-30 19:25:00,18-24
40.661661,-73.733311,25-44,63,1899-12-30 21:15:00,25-44
40.661934,-73.921029,25-44,61,1899-12-30 01:17:00,45-64
40.66214,-73.92721,18-24,61,1899-12-30 05:35:00,(null)
40.66221546,-73.93046373,18-24,61,1899-12-30 13:55:00,(null)
40.662315,-73.938653,25-44,17,1899-12-30 00:35:00,(null)
40.662351,-73.768283,65+,63,1899-12-30 15:02:00,45-64
40.6625545,-73.9089197,<18,55,1899-12-30 20:10:00,<18
40.6625545,-73.9089197,18-24,55,1899-12-30 20:10:00,<18
40.6625545,-73.9089197,25-44,55,1899-12-30 20:10:00,<18
40.6625545,-73.9089197,45-64,55,1899-12-30 20:10:00,<18
40.662923,-73.919703,25-44,55,1899-12-30 04:27:00,(null)
40.663103,-73.740969,<18,63,1899-12-30 13:43:00,(null)
40.663374,-73.886664,<18,45,1899-12-30 00:41:00,(null)
40.663374,-73.886664,25-44,45,1899-12-30 13:20:00,25-44
40.663437,-73.897563,18-24,45,1899-12-30 14:21:00,25-44
40.663682,-73.765109,45-64,63,1899-12-30 03:03:00,(null)
40.663769,-73.865202,25-44,45,1899-12-30 18:20:00,<18
40.663876,-73.996114,18-24,18,1899-12-30 15:51:00,25-44
40.663876,-73.996114,18-24,9,1899-12-30 15:51:00,45-64
40.664024,-73.909775,<18,55,1899-12-30 04:41:00,18-24
40.664024,-73.909775,25-44,110,1899-12-30 04:41:00,18-24
40.664073,-73.734273,18-24,63,1899-12-30 01:15:00,(null)
40.664092,-73.943389,45-64,17,1899-12-30 10:16:00,18-24
40.664121282631,-73.9477648403751,<18,17,1899-12-30 14:40:00,(null)
40.66415444,-73.91960851,65+,55,1899-12-30 21:35:00,(null)
40.664185,-73.926408,25-44,61,1899-12-30 18:47:00,25-44
40.664185,-73.926408,45-64,61,1899-12-30 18:47:00,25-44
40.66441274,-73.88726114,25-44,45,1899-12-30 21:40:00,(null)
40.664665,-73.923314,25-44,61,1899-12-30 17:50:00,(null)
40.664685,-73.889183,25-44,45,1899-12-30 13:19:00,25-44
40.664694,-73.867333,25-44,45,1899-12-30 22:06:00,25-44
40.664861,-73.90419,<18,110,1899-12-30 00:20:00,18-24
40.664874,-73.878081,18-24,45,1899-12-30 22:00:00,18-24
40.66495266,-73.92287688,25-44,55,1899-12-30 11:30:00,25-44
40.665017,-73.95711,18-24,17,1899-12-30 04:35:00,18-24
40.665017,-73.95711,25-44,17,1899-12-30 17:34:00,<18
40.665017,-73.95711,25-44,17,1899-12-30 18:50:00,<18
40.665017,-73.95711,25-44,17,1899-12-30 18:50:00,18-24
40.665032,-73.953738,18-24,17,1899-12-30 09:25:00,18-24
40.665436,-73.951612,18-24,17,1899-12-30 22:58:00,(null)
40.665436,-73.951612,25-44,17,1899-12-30 22:58:00,(null)
40.66576,-73.908802,45-64,55,1899-12-30 18:45:00,45-64
40.665763,-73.941145,25-44,17,1899-12-30 00:10:00,25-44
40.666038,-73.906938,25-44,55,1899-12-30 00:38:00,(null)
40.666038,-73.906938,25-44,55,1899-12-30 21:10:00,25-44
40.666074,-73.930421,25-44,17,1899-12-30 21:20:00,(null)
40.666223,-73.922536,25-44,55,1899-12-30 00:13:00,(null)
40.66628,-73.874814,18-24,45,1899-12-30 19:14:00,(null)
40.66644036,-73.95360831,25-44,17,1899-12-30 01:53:00,(null)
40.666649,-73.892068,25-44,45,1899-12-30 20:05:00,25-44
40.666771,-73.923499,25-44,110,1899-12-30 02:00:00,(null)
40.667027,-73.871333,25-44,45,1899-12-30 19:45:00,25-44
40.667127,-73.866977,65+,45,1899-12-30 18:36:00,(null)
40.66714241,-73.95924553,25-44,17,1899-12-30 04:26:00,25-44
40.66729,-73.909161,25-44,55,1899-12-30 10:41:00,25-44
40.667381,-73.908225,25-44,55,1899-12-30 01:20:00,<18
40.66742594,-73.90823176,<18,55,1899-12-30 03:17:00,(null)
40.667566,-73.907293,25-44,55,1899-12-30 03:42:00,(null)
40.667621,-73.896254,18-24,45,1899-12-30 00:55:00,(null)
40.667621,-73.896254,25-44,45,1899-12-30 17:50:00,<18
40.667748,-73.929828,25-44,17,1899-12-30 06:35:00,25-44
40.667984,-73.861,18-24,90,1899-12-30 23:35:00,18-24
40.6682,-73.9031,25-44,55,1899-12-30 13:51:00,25-44
40.668278,-73.744211,65+,63,1899-12-30 07:40:00,65+
40.668341,-73.906514,25-44,55,1899-12-30 14:22:00,25-44
40.668576,-73.926978,<18,16,1899-12-30 18:15:00,18-24
40.668604,-73.759252,25-44,41,1899-12-30 22:13:00,25-44
40.668621,-73.904627,25-44,55,1899-12-30 01:53:00,(null)
40.66864793,-73.92834824,45-64,16,1899-12-30 20:03:00,18-24
